rank,countryCode,countryName,totalPoints,previousPoints
1,BRA,Brazil,1841.3,1837.56
2,BEL,Belgium,1816.71,1821.92
3,ARG,Argentina,1773.88,1770.65
4,FRA,France,1759.78,1764.85
5,ENG,England,1728.47,1737.46
6,ITA,Italy,1726.14,1713.86
7,ESP,Spain,1715.22,1716.93
8,NED,Netherlands,1694.51,1679.41
9,POR,Portugal,1676.56,1678.65
10,DEN,Denmark,1666.57,1665.47
11,GER,Germany,1650.21,1658.96
12,CRO,Croatia,1645.64,1632.15
13,MEX,Mexico,1644.89,1649.57
14,URU,Uruguay,1638.71,1640.95
15,SUI,Switzerland,1635.92,1621.43
16,USA,USA,1627.48,1635.01
17,COL,Colombia,1611.04,1604.07
18,SEN,Senegal,1584.38,1584.59
19,WAL,Wales,1569.82,1582.13
20,IRN,Iran,1564.61,1558.64
21,SRB,Serbia,1563.62,1549.53
22,MAR,Morocco,1563.5,1558.35
23,PER,Peru,1561.01,1562.24
24,JPN,Japan,1559.54,1554.69
25,SWE,Sweden,1553.33,1563.44
26,POL,Poland,1548.59,1546.18
27,UKR,Ukraine,1536.99,1542.79
28,KOR,Korea Republic,1530.3,1526.02
29,CHI,Chile,1509.61,1514.86
30,TUN,Tunisia,1507.54,1507.86
31,CRC,Costa Rica,1503.59,1500.06
32,NGA,Nigeria,1498.47,1504.7
33,RUS,Russia,1496.11,1493.42
34,AUT,Austria,1492.95,1502.47
35,CZE,Czechia,1492.21,1502.9
36,HUN,Hungary,1492.2,1486.76
37,ALG,Algeria,1489.1,1480.59
38,AUS,Australia,1488.72,1483.73
39,EGY,Egypt,1486.44,1482.63
40,SCO,Scotland,1479.53,1462.96
41,CAN,Canada,1475.0,1473.82
42,NOR,Norway,1473.04,1488.57
43,CMR,Cameroon,1471.44,1484.95
44,ECU,Ecuador,1464.39,1463.74
45,TUR,Turkey,1460.14,1475.13
46,MLI,Mali,1448.85,1442.88
47,PAR,Paraguay,1448.77,1440.13
48,CIV,Ivory Coast,1443.06,1435.91
49,IRL,Republic of Ireland,1440.19,1442.48
50,QAT,Qatar,1439.89,1441.97
51,KSA,Saudi Arabia,1437.78,1435.74
52,GRE,Greece,1437.6,1441.45
53,ROU,Romania,1434.68,1427.84
54,BFA,Burkina Faso,1432.25,1425.64
55,SVK,Slovakia,1425.59,1439.99
56,FIN,Finland,1405.6,1398.41
57,VEN,Venezuela,1404.37,1405.17
58,BIH,Bosnia and Herzegovina,1403.51,1403.98
59,NIR,Northern Ireland,1396.55,1399.1
60,PAN,Panama,1393.28,1389.27
61,GHA,Ghana,1393.0,1393.47
62,ISL,Iceland,1384.41,1379.61
63,SVN,Slovenia,1384.04,1372.48
64,JAM,Jamaica,1378.86,1382.06
65,MKD,North Macedonia,1358.51,1375.2
66,ALB,Albania,1354.11,1361.81
67,RSA,South Africa,1349.59,1350.55
68,IRQ,Iraq,1343.01,1338.91
69,MNE,Montenegro,1341.03,1354.59
70,UAE,United Arab Emirates,1337.57,1346.09
71,CPV,Cabo Verde,1336.05,1331.46
72,BUL,Bulgaria,1335.36,1325.16
73,COD,Congo DR,1333.92,1332.84
74,SLV,El Salvador,1330.51,1333.48
75,OMA,Oman,1320.29,1323.03
76,ISR,Israel,1316.55,1316.35
77,UZB,Uzbekistan,1309.98,1306.63
78,GEO,Georgia,1307.34,1296.46
79,CHN,China PR,1305.06,1305.06
80,HON,Honduras,1301.98,1299.69
81,GAB,Gabon,1301.84,1301.84
82,BOL,Bolivia,1296.28,1298.81
83,GUI,Guinea,1290.47,1294.89
84,JOR,Jordan,1289.99,1279.74
85,BHR,Bahrain,1280.64,1289.25
86,CUW,Curaçao,1278.64,1293.35
87,HAI,Haiti,1269.07,1269.07
88,ZAM,Zambia,1267.41,1270.8
89,UGA,Uganda,1260.69,1264.56
90,SYR,Syria,1255.92,1265.03
91,BEN,Benin,1247.47,1258.71
92,LUX,Luxembourg,1243.8,1235.36
93,ARM,Armenia,1233.93,1242.42
94,PLE,Palestine,1233.72,1233.72
95,KGZ,Kyrgyz Republic,1230.22,1232.91
96,VIE,Vietnam,1226.65,1218.84
97,BLR,Belarus,1221.06,1226.55
98,EQG,Equatorial Guinea,1215.66,1215.33
99,LBN,Lebanon,1211.71,1211.71
100,CGO,Congo,1208.79,1215.09
101,KEN,Kenya,1202.26,1202.26
102,MAD,Madagascar,1200.74,1193.78
103,MTN,Mauritania,1197.58,1181.86
104,TRI,Trinidad and Tobago,1195.29,1205.85
105,NZL,New Zealand,1193.98,1198.96
106,IND,India,1192.09,1198.65
107,KOS,Kosovo,1187.01,1183.9
108,TJK,Tajikistan,1185.7,1179.1
109,EST,Estonia,1184.64,1177.4
110,CYP,Cyprus,1183.82,1180.52
111,THA,Thailand,1174.92,1170.69
112,PRK,Korea DPR,1169.96,1169.96
113,KAZ,Kazakhstan,1166.63,1166.28
114,MOZ,Mozambique,1165.22,1165.41
115,NAM,Namibia,1164.13,1164.13
116,GNB,Guinea-Bissau,1160.71,1165.53
117,SLE,Sierra Leone,1160.31,1169.71
118,GUA,Guatemala,1156.7,1161.96
119,ANG,Angola,1155.9,1149.08
120,LBY,Libya,1154.25,1148.36
121,NIG,Niger,1152.8,1155.23
122,FRO,Faroe Islands,1147.17,1136.29
123,AZE,Azerbaijan,1146.72,1127.17
124,MWI,Malawi,1144.97,1144.77
125,ZIM,Zimbabwe,1138.56,1138.56
126,GAM,The Gambia,1137.47,1137.47
127,TOG,Togo,1128.92,1130.22
128,SDN,Sudan,1127.34,1124.91
129,COM,Comoros,1123.18,1127.44
130,TAN,Tanzania,1119.89,1121.91
131,ATG,Antigua and Barbuda,1117.01,1117.01
132,CTA,Central African Republic,1116.97,1116.06
133,PHI,Philippines,1115.13,1115.13
134,LVA,Latvia,1114.21,1125.36
135,TKM,Turkmenistan,1100.47,1100.47
136,SOL,Solomon Islands,1095.7,1092.56
137,RWA,Rwanda,1093.66,1095.04
138,ETH,Ethiopia,1091.19,1088.27
139,SUR,Suriname,1077.3,1072.24
140,SKN,St Kitts and Nevis,1076.91,1076.91
141,BDI,Burundi,1076.26,1076.26
142,NCA,Nicaragua,1071.83,1079.18
143,SWZ,Eswatini,1070.89,1070.89
144,LTU,Lithuania,1069.75,1074.08
145,HKG,Hong Kong,1062.39,1058.37
146,MAS,Malaysia,1062.32,1057.59
147,LES,Lesotho,1061.4,1061.4
148,BOT,Botswana,1056.46,1060.17
149,KUW,Kuwait,1053.41,1053.41
150,LBR,Liberia,1049.66,1051.25
151,AND,Andorra,1035.2,1028.7
152,IDN,Indonesia,1033.9,1019.19
153,DOM,Dominican Republic,1031.86,1031.86
154,MDV,Maldives,1026.09,1018.25
155,YEM,Yemen,1023.52,1023.52
156,AFG,Afghanistan,1023.04,1023.04
157,TPE,Chinese Taipei,1017.78,1017.78
158,MYA,Myanmar,1007.89,1011.91
159,PNG,Papua New Guinea,1007.46,997.6
160,SGP,Singapore,1003.5,1004.75
161,NCL,New Caledonia,995.58,999.7
162,TAH,Tahiti,995.11,995.11
163,FIJ,Fiji,989.43,993.37
164,VAN,Vanuatu,985.62,990.55
165,SSD,South Sudan,983.99,983.99
166,BRB,Barbados,982.27,982.27
167,CUB,Cuba,978.65,978.65
168,MLT,Malta,977.92,974.68
169,BER,Bermuda,977.47,977.47
170,PUR,Puerto Rico,974.32,974.32
171,GUY,Guyana,968.74,968.74
172,LCA,St Lucia,965.66,965.66
173,GRN,Grenada,963.72,969.0
174,MDA,Moldova,961.23,944.96
175,NEP,Nepal,954.86,950.45
176,BLZ,Belize,950.88,950.88
177,CAM,Cambodia,948.62,954.3
178,VIN,St Vincent and the Grenadines,945.25,939.97
179,MSR,Montserrat,940.78,940.78
180,MRI,Mauritius,932.02,932.02
181,CHA,Chad,930.22,931.98
182,MAC,Macau,922.1,922.1
183,MNG,Mongolia,913.55,913.55
184,DMA,Dominica,911.51,911.51
185,BHU,Bhutan,910.96,910.96
186,STP,São Tomé and Príncipe,908.18,908.18
187,LAO,Laos,905.51,914.66
188,ASA,American Samoa,900.27,900.27
189,COK,Cook Islands,899.33,899.33
190,BRU,Brunei Darussalam,898.41,897.1
191,SAM,Samoa,894.26,894.26
192,BAN,Bangladesh,884.45,883.18
193,DJI,Djibouti,875.05,877.84
194,PAK,Pakistan,866.81,866.81
195,CAY,Cayman Islands,865.72,865.72
196,LIE,Liechtenstein,862.39,873.99
197,TGA,Tonga,861.81,861.81
198,TLS,Timor-Leste,860.06,860.06
199,SEY,Seychelles,859.56,860.48
200,ERI,Eritrea,855.56,855.56
201,ARU,Aruba,855.37,855.37
202,BAH,Bahamas,854.8,854.8
203,SOM,Somalia,854.72,854.72
204,GIB,Gibraltar,852.16,856.55
205,GUM,Guam,838.33,838.33
206,TCA,Turks and Caicos Islands,832.0,832.0
207,SRI,Sri Lanka,825.25,825.25
208,VIR,US Virgin Islands,823.97,823.97
209,VGB,British Virgin Islands,809.32,809.32
210,AIA,Anguilla,790.74,790.74
211,SMR,San Marino,762.22,763.82
19,,Serbia and Montenegro,674.0,674.0
6,,Yugoslavia,64.0,64.0
64,,Czechoslovakia,24.0,24.0
45,,German DR,0.0,0.0
